state,ev,error,abs_error
Alabama,9,-5.32,5.32
Alaska,3,-7.33,7.33
Arizona,11,-1.34,1.34
Arkansas,6,-6.22,6.22
California,55,7.11,7.11
Colorado,9,0.81,0.81
Conneticut,7,1.04,1.04
Delaware,3,-1.13,1.13
D.C.,3,15.91,15.91
Florida,29,-1.8,1.8
Georgia,16,-1.13,1.13
Hawaii,4,8.39,8.39
Idaho,4,-12.17,12.17
Illinois,20,4.17,4.17
Indiana,11,-7.31,7.31
Iowa,6,-6.51,6.51
Kansas,6,-8.1,8.1
Kentucky,8,-11.64,11.64
Louisiana,8,-3.54,3.54
Maine,2,-4.54,4.54
ME-1,1,0,0
ME-2,1,0,0
Maryland,10,0.72,0.72
Massachusets,11,3.8,3.8
Michigan,16,-4.43,4.43
Minnesota,10,-4.28,4.28
Mississippi,6,-4.73,4.73
Missouri,10,-8.63,8.63
Montana,3,-5.42,5.42
Nebraska,2,-7.15,7.15
NE-1,1,0,0
NE-2,1,0,0
NE-3,1,0,0
Nevada,6,1.22,1.22
New Hampsire,4,-3.23,3.23
New Jersey,14,2.6,2.6
New Mexico,5,2.42,2.42
New York,29,3.49,3.49
North Carolina,15,-4.36,4.36
North Dakota,3,-12.63,12.63
Ohio,18,-6.23,6.23
Oklahoma,7,-10.39,10.39
Oregon,7,1.88,1.88
Pennsylvania,20,-4.42,4.42
Rhode Island,4,1.11,1.11
South Carolina,9,-7.27,7.27
San Diego,3,-14.29,14.29
Tennessee,11,-14,14
Texas,38,-0.49,0.49
Utah,6,-7.48,7.48
Vermont,3,-0.99,0.99
Virginia,13,-0.18,0.18
Washington,12,2.41,2.41
West Virginia,5,-15.57,15.57
Wisconsin,10,-6.07,6.07
Wyoming,3,-10.77,10.77
